A,A flow coefficient,B,B flow coefficient,C,C flow coefficient,D,D flow coefficient,E,E flow coefficient,F,F flow coefficient,G,G flow coefficient,H,H flow coefficient,I,I flow coefficient,J,J flow coefficient,K,K flow coefficient,L,L flow coefficient,M,M flow coefficient,N,N flow coefficient,O,O flow coefficient,P,P flow coefficient,Q,Q flow coefficient,R,R flow coefficient,S,S flow coefficient,T,T flow coefficient,U,U flow coefficient,V,V flow coefficient,W,W flow coefficient,X,X flow coefficient,Y,Y flow coefficient,Z,Z flow coefficient,AA,AA flow coefficient,AB,AB flow coefficient,AC,AC flow coefficient,AD,AD flow coefficient,AE,AE flow coefficient,AF,AF flow coefficient,AG,AG flow coefficient,AH,AH flow coefficient,AI,AI flow coefficient,AJ,AJ flow coefficient,AK,AK flow coefficient,AL,AL flow coefficient,AM,AM flow coefficient,AN,AN flow coefficient,AO,AO flow coefficient,AP,AP flow coefficient,AQ,AQ flow coefficient,AR,AR flow coefficient,AS,AS flow coefficient,AT,AT flow coefficient,AU,AU flow coefficient,AV,AV flow coefficient,AW,AW flow coefficient,AX,AX flow coefficient,AY,AY flow coefficient,AZ,AZ flow coefficient,BA,BA flow coefficient,BB,BB flow coefficient,BC,BC flow coefficient,BD,BD flow coefficient,BE,BE flow coefficient,BF,BF flow coefficient,BG,BG flow coefficient,BH,BH flow coefficient,BI,BI flow coefficient,BJ,BJ flow coefficient,BK,BK flow coefficient,BL,BL flow coefficient,BM,BM flow coefficient,BN,BN flow coefficient,BO,BO flow coefficient,BP,BP flow coefficient,BQ,BQ flow coefficient,BR,BR flow coefficient,BS,BS flow coefficient,BT,BT flow coefficient,BU,BU flow coefficient,BV,BV flow coefficient,BW,BW flow coefficient,BX,BX flow coefficient,BY,BY flow coefficient,BZ,BZ flow coefficient,CA,CA flow coefficient,CB,CB flow coefficient,CC,CC flow coefficient,CD,CD flow coefficient,CE,CE flow coefficient,CF,CF flow coefficient,CG,CG flow coefficient,CH,CH flow coefficient,CI,CI flow coefficient,CJ,CJ flow coefficient,CK,CK flow coefficient,CL,CL flow coefficient,CM,CM flow coefficient,CN,CN flow coefficient,CO,CO flow coefficient,CP,CP flow coefficient,CQ,CQ flow coefficient,CR,CR flow coefficient,CS,CS flow coefficient,CT,CT flow coefficient,CU,CU flow coefficient,CV,CV flow coefficient,CW,CW flow coefficient,CX,CX flow coefficient,CY,CY flow coefficient,CZ,CZ flow coefficient,DA,DA flow coefficient,DB,DB flow coefficient,DC,DC flow coefficient,DD,DD flow coefficient,DE,DE flow coefficient,DF,DF flow coefficient,DG,DG flow coefficient,DH,DH flow coefficient,DI,DI flow coefficient,DJ,DJ flow coefficient,DK,DK flow coefficient,DL,DL flow coefficient,DM,DM flow coefficient,DN,DN flow coefficient,DO,DO flow coefficient,DP,DP flow coefficient,DQ,DQ flow coefficient,DR,DR flow coefficient,DS,DS flow coefficient,DT,DT flow coefficient,DU,DU flow coefficient,DV,DV flow coefficient,DW,DW flow coefficient,DX,DX flow coefficient,DY,DY flow coefficient,DZ,DZ flow coefficient,EA,EA flow coefficient,EB,EB flow coefficient,EC,EC flow coefficient,ED,ED flow coefficient,EE,EE flow coefficient,EF,EF flow coefficient,EG,EG flow coefficient,EH,EH flow coefficient,EI,EI flow coefficient,EJ,EJ flow coefficient,EK,EK flow coefficient,EL,EL flow coefficient,EM,EM flow coefficient,EN,EN flow coefficient,EO,EO flow coefficient,EP,EP flow coefficient,EQ,EQ flow coefficient,ER,ER flow coefficient,ES,ES flow coefficient,ET,ET flow coefficient
B,0.384530779,A,1.523981051,A,1.644863191,A,1.151861454,A,1.677923902,A,0.435043641,A,1.084459837,A,1.762101558,A,1.121772582,A,0.566850815,A,1.684471313,A,0.491376416,A,1.995780718,A,0.43508076,A,1.727129897,A,1.074096996,A,0.809519826,A,0.19882843,A,1.54925889,A,0.517464896,A,1.666028167,A,1.54507875,A,0.11097706,A,1.807194689,A,0.733646967,A,0.315705832,A,1.207537995,A,1.020182347,A,1.445068126,A,1.594892842,A,0.78040327,A,0.317791267,A,0.36507219,A,1.04383981,A,1.093994758,A,0.347836713,A,1.237263087,A,0.927592698,A,1.958312734,A,1.15787534,A,0.18708087,A,0.195555991,A,0.188042419,A,1.807379763,A,0.935936629,A,1.869019316,A,1.984843118,A,0.339700445,A,1.286684888,A,1.853108629,A,0.259102071,A,1.728893373,A,1.122495691,A,0.300014957,A,0.06012228,A,1.518650233,A,1.057835231,A,0.393733481,A,1.408939875,A,1.650671951,A,1.822364505,A,0.542025023,A,1.221845308,A,0.16799914,A,0.642145995,A,1.028164189,A,1.565699932,A,1.077606845,A,1.187833618,A,1.244666725,A,0.579230287,A,1.620308975,A,1.348647325,A,1.362932428,A,1.952039711,A,0.246932746,A,1.342319139,A,1.790530946,A,1.77924682,A,1.926476044,A,0.01374659,A,0.244010866,A,1.85669166,A,1.671078343,A,1.534110492,A,1.688331613,A,1.099019243,A,0.599649994,A,1.03859756,A,1.46821123,A,0.193127953,A,0.409143955,A,0.609480896,A,0.371080213,A,0.575746847,A,1.324784703,A,0.935636515,A,1.088594005,A,1.259156136,A,0.529965144,A,0.171688211,A,1.791076476,A,1.363942351,A,0.38523582,A,1.492037279,A,1.357723406,A,1.972457691,A,0.994657388,A,0.632460476,A,0.913455341,A,0.460387366,A,1.286651394,A,1.403291628,A,1.81454423,A,0.367011072,A,0.863261283,A,0.254428517,A,0.130086429,A,1.477233568,A,0.093494369,A,0.355970048,A,0.097973816,A,1.545166291,A,0.847573993,A,0.753227672,A,1.734961696,A,1.456762174,A,1.977695019,A,1.708082014,A,1.057277433,A,0.227642249,A,0.111521558,A,0.590798424,A,1.945194135,A,0.739268949,A,1.692399389,A,1.944960013,A,0.998829213,A,0.724495247,A,0.709171427,A,0.805349419,A,1.12516319,A,1.430295688,A,0.184072551,A,1.69586459,A,1.778258416,A,0.623170857,A,0.718927572,A,0.229865101,A,1.890420011
C,0.607208632,C,1.059451462,B,0.319536922,B,1.108244473,B,0.533475837,B,1.675034564,B,0.932362684,B,0.305241878,B,1.203109474,B,1.314455064,B,1.216911683,B,1.388655797,B,0.90141015,B,1.307550866,B,1.042569033,B,0.021526175,B,1.397183834,B,0.282362413,B,0.055665352,B,1.228721373,B,1.497813624,B,1.374064619,B,1.507367853,B,0.95989165,B,0.686800512,B,1.479518357,B,1.209456615,B,1.433540678,B,0.129643805,B,1.380880538,B,1.438152795,B,1.11971281,B,1.809060055,B,0.733265739,B,0.56984302,B,0.94563709,B,1.799072128,B,1.540478443,B,1.48128385,B,0.577896564,B,1.565861527,B,1.704031182,B,0.007538414,B,0.728981909,B,0.011678731,B,0.208454309,B,1.738484508,B,1.470883791,B,1.01003728,B,1.91956565,B,1.077312853,B,1.976555926,B,0.079850497,B,1.655667902,B,1.561074846,B,0.869776369,B,1.574296259,B,0.677942943,B,0.535306469,B,0.98138257,B,0.02836067,B,1.27962961,B,1.904726636,B,1.077007258,B,1.964604949,B,1.109857511,B,0.673461466,B,0.225990536,B,1.084778633,B,0.405118743,B,0.696623859,B,1.833425936,B,1.260386404,B,0.770313803,B,1.908510981,B,1.765097282,B,0.339673322,B,1.371432572,B,1.113215461,B,0.500348215,B,1.634810942,B,0.895585855,B,1.581229778,B,1.274091702,B,1.131775093,B,0.357671794,B,1.968609563,B,1.911491066,B,1.946711064,B,0.5075659,B,0.681186715,B,1.332261333,B,1.836177138,B,1.25797387,B,0.894904803,B,0.621442952,B,0.20930279,B,0.322438016,B,0.057914491,B,0.29872286,B,0.515445782,B,0.785291355,B,1.111315831,B,0.518050993,B,1.633704099,B,1.120245827,B,1.560214116,B,1.397724912,B,0.740684895,B,0.211214777,B,1.197268599,B,1.336787991,B,1.716371562,B,0.027494852,B,0.261386787,B,0.032056303,B,0.215910987,B,0.400767837,B,1.09011268,B,0.268331828,B,0.215263112,B,1.812419323,B,1.348604395,B,1.954428153,B,0.303028234,B,1.021947799,B,0.369313249,B,0.960142337,B,0.846581191,B,1.525252701,B,1.864729372,B,1.936810177,B,0.461497592,B,0.14256476,B,0.342268461,B,0.452892242,B,1.977971681,B,0.585827047,B,1.767403844,B,0.69007895,B,0.118813157,B,1.196345547,B,0.868554595,B,1.12039527,B,0.544743857,B,0.015463641,B,0.689173642,B,0.712368552,B,1.879777802,B,0.310986489
D,1.815254808,D,0.545990196,D,0.077108174,C,0.639983571,C,0.891615482,C,1.600978015,C,0.788179111,C,1.822254618,C,1.215104005,C,0.957113981,C,1.657865896,C,1.420698346,C,1.979405851,C,1.687535963,C,1.271818131,C,0.163280534,C,1.891356071,C,0.99475035,C,0.80984297,C,0.476691768,C,0.206223641,C,1.884065774,C,1.516162552,C,0.241929807,C,0.15047378,C,1.891558608,C,1.65127826,C,1.228530451,C,0.788630779,C,1.240063316,C,1.263169029,C,1.054471426,C,1.102701284,C,1.781521679,C,1.152642443,C,0.113113696,C,0.357987638,C,1.447833537,C,1.467136196,C,1.891585289,C,0.949700925,C,0.621697614,C,1.365996507,C,1.918014486,C,0.106209905,C,0.776942735,C,1.225073258,C,1.835005518,C,1.070445141,C,0.429345538,C,0.565841248,C,1.866707483,C,0.446176413,C,0.51605032,C,1.366234361,C,1.692011402,C,1.797998755,C,0.121292163,C,1.436470797,C,0.395949832,C,1.227139296,C,0.474296095,C,0.609516016,C,0.784853843,C,0.373194678,C,0.757669535,C,0.433612698,C,1.858686183,C,1.709114541,C,1.311675514,C,1.021967637,C,0.040204959,C,0.291718806,C,0.527065732,C,1.530767273,C,0.509718318,C,0.810780971,C,1.155116052,C,1.195614296,C,0.247052333,C,0.326049764,C,1.857080424,C,1.753096374,C,1.538170473,C,0.933881441,C,1.530982512,C,0.287663855,C,1.802658364,C,0.172804888,C,1.578728343,C,1.779283503,C,1.342825713,C,0.970855039,C,1.59081438,C,0.083317415,C,1.001499759,C,0.645031058,C,1.345279352,C,1.882233711,C,1.443541935,C,1.804421799,C,1.346026458,C,0.459850191,C,0.985457248,C,1.457500849,C,0.257458722,C,0.241773754,C,1.205550736,C,1.566404256,C,0.356402092,C,1.059585791,C,0.700207311,C,1.121727386,C,0.842797209,C,0.262591645,C,0.359681247,C,0.779809257,C,1.137352713,C,0.474252477,C,1.557198451,C,0.009904498,C,0.153763491,C,0.626123595,C,1.265367491,C,0.374663802,C,0.321189161,C,0.526531205,C,0.443353119,C,0.248629698,C,1.777266767,C,1.087760007,C,0.457587931,C,1.077676861,C,1.007443403,C,0.721316567,C,0.291265451,C,0.846902944,C,1.156509505,C,0.325184066,C,1.720730445,C,1.594884635,C,0.066653306,C,1.817865683,C,0.431938752,C,1.221606488,C,0.183700083,C,0.299480219,C,1.442063797,C,1.540067577,C,0.962542746
E,0.222736339,E,1.423703782,E,1.597473205,E,0.060013742,D,1.1982508,D,1.705535651,D,1.850355119,D,0.989482946,D,0.03215991,D,0.008674321,D,1.99158972,D,0.492324019,D,1.328502786,D,0.224137863,D,0.163415388,D,0.554882222,D,0.724978133,D,1.55678722,D,1.490849819,D,1.426829647,D,0.138261061,D,1.127500104,D,1.657536754,D,1.162784506,D,0.650868801,D,1.658722124,D,1.810933946,D,0.701208686,D,1.281226586,D,0.122101283,D,0.977832453,D,1.270096512,D,1.551817949,D,0.240837422,D,1.694699497,D,1.780281825,D,0.151376917,D,1.83743951,D,0.694166684,D,0.039678913,D,0.274515916,D,1.938418501,D,0.011788614,D,0.981756914,D,0.116253947,D,0.369694671,D,0.078573252,D,1.860460151,D,0.11323216,D,1.224340165,D,1.270212599,D,0.89154479,D,0.579201834,D,0.088715074,D,1.081955089,D,0.722760931,D,1.222306262,D,1.396014346,D,1.869860025,D,1.14212962,D,0.134905944,D,0.393813593,D,1.108364387,D,0.928794565,D,1.114893849,D,0.69694287,D,1.544726234,D,0.675566943,D,0.748059833,D,1.516192136,D,0.191564449,D,1.417412947,D,1.603853817,D,0.945391964,D,0.684989673,D,0.876550556,D,0.768460196,D,0.697506863,D,0.773527584,D,0.263611721,D,1.073449452,D,0.987504616,D,1.675150723,D,0.981153769,D,1.749134968,D,1.530449548,D,0.068597448,D,1.602349117,D,1.718604465,D,0.974638004,D,1.726958963,D,1.023092329,D,0.650512785,D,0.761526372,D,1.92022877,D,0.764037566,D,0.135731975,D,1.182476223,D,0.440371697,D,1.778495518,D,1.623118677,D,1.478971806,D,0.52061634,D,1.641500595,D,1.145966513,D,1.085273027,D,0.917524397,D,0.579200309,D,0.323349638,D,0.199216202,D,0.000996999,D,1.126192978,D,0.200813861,D,1.288235066,D,0.875644643,D,0.641539156,D,0.734240934,D,1.334747493,D,0.364825762,D,1.879512569,D,1.95885582,D,0.343086991,D,1.18583636,D,1.47378121,D,1.227387587,D,1.415076268,D,0.405646684,D,0.866381488,D,1.178365185,D,1.989481396,D,1.979104572,D,1.888615312,D,0.878372674,D,0.849639736,D,1.123899805,D,0.812437635,D,1.768914033,D,1.675168074,D,0.807937957,D,0.588723281,D,1.822393183,D,0.632255726,D,0.780791861,D,1.656907998,D,0.517331016,D,1.07148642,D,0.482698771,D,0.111488892,D,0.130433811,D,0.260947038
F,0.631863598,F,1.812113863,F,0.481597472,F,1.133177946,F,0.070608726,E,0.134185542,E,0.292062167,E,1.55110726,E,0.782396485,E,0.292337059,E,0.080990534,E,1.713738833,E,0.612969739,E,0.275394958,E,1.120773103,E,0.643105866,E,1.202764916,E,1.750863501,E,1.707854732,E,0.395782683,E,0.29244345,E,0.516002911,E,0.957437745,E,1.688102021,E,0.164741964,E,0.261777917,E,0.912931148,E,0.136895439,E,1.840044997,E,1.641680403,E,1.20114204,E,1.346188298,E,0.842283058,E,0.789666999,E,0.013522405,E,0.462295649,E,1.850318926,E,1.336916058,E,1.158017017,E,1.185340688,E,1.3061276,E,0.036802291,E,1.546619223,E,0.095683364,E,0.662792666,E,1.486262036,E,0.089488968,E,1.808922651,E,0.583912903,E,0.458826108,E,1.229395503,E,0.849120066,E,0.220458497,E,0.623926351,E,0.627280253,E,1.149125808,E,0.299423347,E,0.80961125,E,1.079327777,E,0.73881685,E,1.587618183,E,1.336433981,E,0.438651591,E,0.113553351,E,0.160720708,E,0.63108387,E,0.235974226,E,0.417495425,E,1.702246219,E,1.448318286,E,0.454343416,E,0.635437846,E,0.094137979,E,0.702976505,E,0.022624412,E,0.154486488,E,1.813355971,E,1.849523546,E,1.904329956,E,0.299062319,E,0.558714927,E,1.134622864,E,0.837381986,E,1.392003093,E,1.351718211,E,1.142058251,E,1.368842808,E,1.581601961,E,1.529202378,E,1.530991533,E,0.551807592,E,0.563052222,E,1.916022218,E,0.61855691,E,1.735038297,E,1.521521923,E,0.415985821,E,0.152358494,E,1.335045715,E,0.042527484,E,1.510428979,E,1.401714342,E,1.599239552,E,1.84976103,E,0.938817469,E,0.821665868,E,1.653759255,E,0.255171041,E,0.231180885,E,1.811922871,E,1.44008985,E,0.227444661,E,1.681106236,E,1.213984257,E,0.504759018,E,1.418371626,E,0.381200013,E,0.326092485,E,0.721348103,E,1.735235119,E,0.817173556,E,0.821691477,E,0.468343573,E,1.738582577,E,1.649511099,E,0.155434021,E,1.774283984,E,0.830564649,E,1.353526483,E,0.103555144,E,1.613514399,E,0.367284284,E,1.424934332,E,1.965315329,E,0.288094824,E,0.620835222,E,1.002754935,E,1.202093668,E,0.641910651,E,1.500537317,E,0.859726481,E,1.270047688,E,0.036138087,E,1.480898514,E,1.248065497,E,0.82264059,E,1.407129019,E,0.953612345,E,0.80142297,E,0.071689441
G,0.264151557,G,1.400911677,G,0.147523764,G,1.93378154,G,1.706825804,G,0.977341557,F,0.442861874,F,0.887938088,F,1.368495739,F,0.040520886,F,1.619372217,F,1.244742557,F,0.591721003,F,0.215253521,F,0.781339621,F,0.266002059,F,0.691261923,F,1.971502545,F,0.329701801,F,0.26370696,F,1.919911867,F,0.529622373,F,1.25739143,F,0.198538864,F,1.351370113,F,0.863465794,F,0.122975242,F,0.172847056,F,0.334340623,F,0.447558181,F,1.45947689,F,1.036062949,F,0.818392296,F,1.803872912,F,0.402806888,F,0.046641846,F,0.895314593,F,0.789505607,F,0.002453189,F,0.174485051,F,0.831149998,F,0.586699145,F,1.672174245,F,1.377705964,F,1.119075164,F,1.033309808,F,0.453929035,F,0.818449834,F,0.869952719,F,0.367793408,F,0.688751189,F,0.107894185,F,0.383706005,F,0.5479606,F,1.662869439,F,0.598570263,F,1.007994688,F,0.424848544,F,1.956093751,F,1.163412567,F,1.954670689,F,1.126647783,F,1.911808175,F,1.969700485,F,0.848946904,F,0.668833562,F,1.490318123,F,1.880921961,F,1.178689619,F,1.069908734,F,0.36112734,F,0.908588162,F,0.565784034,F,0.92628329,F,1.512510164,F,0.136992809,F,0.932355625,F,0.906021708,F,0.411265845,F,1.75176287,F,1.472962059,F,1.524275741,F,1.398187726,F,1.193889043,F,0.394390679,F,1.737488149,F,0.601223488,F,1.587405468,F,0.029403752,F,1.984458627,F,1.887723937,F,1.517324083,F,1.209291507,F,1.550225654,F,1.44384584,F,0.340234061,F,1.953317686,F,0.785307585,F,1.487468768,F,1.286554805,F,1.941209319,F,1.648148891,F,0.950304573,F,0.746061294,F,0.987400938,F,0.332452008,F,1.980522207,F,0.008334936,F,1.420416859,F,0.018618116,F,1.951233038,F,1.580063027,F,1.466642908,F,0.459541554,F,0.102555469,F,0.548665823,F,1.014076809,F,1.151929547,F,1.373233653,F,1.205858931,F,0.18852241,F,1.299180925,F,1.995783604,F,0.072797218,F,0.039781879,F,1.959531937,F,1.520547972,F,1.934813272,F,0.839973614,F,1.665390151,F,0.532209842,F,0.355927811,F,0.742114565,F,0.697723421,F,1.557465809,F,0.622069295,F,0.97009218,F,0.872366913,F,1.791067514,F,0.732725742,F,0.475185814,F,1.394858069,F,1.906977768,F,1.484445811,F,1.301467896,F,1.113590676,F,0.357885452,F,0.16899856,F,1.693789779,F,0.190324146
H,1.425759594,H,1.966278636,H,0.484733224,H,0.420574297,H,1.841933213,H,0.628939502,H,0.573048912,G,0.727969472,G,1.346686908,G,0.12826757,G,1.647401126,G,1.112961328,G,1.62417744,G,0.624627054,G,1.536504025,G,0.683337625,G,0.555389852,G,1.840357854,G,0.43953028,G,1.053894441,G,0.625777988,G,0.026025111,G,1.194683457,G,0.473481738,G,0.942493627,G,0.891221643,G,1.162212915,G,1.747823631,G,0.930846885,G,0.826564722,G,0.998401163,G,0.574799926,G,1.222938378,G,1.10209706,G,0.535627061,G,0.558532632,G,1.129919063,G,0.414307088,G,0.1334175,G,0.789109776,G,1.867053893,G,1.243170903,G,0.342500926,G,0.533885563,G,1.000893854,G,0.38006411,G,0.90758873,G,0.036647657,G,0.414136586,G,0.400210406,G,0.711104213,G,1.90016644,G,0.497240889,G,0.190230502,G,1.525001789,G,1.68597618,G,1.511914047,G,0.454932325,G,0.319616792,G,0.185438273,G,0.982204042,G,1.086289906,G,0.514503053,G,0.97170572,G,0.888062141,G,0.325635051,G,0.66149225,G,0.265746507,G,1.838233624,G,0.908902629,G,0.528449362,G,1.345635514,G,1.395543784,G,0.438715677,G,0.987181674,G,0.627732146,G,1.185806047,G,1.20784805,G,0.185838795,G,0.383543283,G,0.959850053,G,0.546659746,G,0.36370133,G,0.176850609,G,0.353972466,G,0.797014867,G,1.25821389,G,1.547044042,G,0.74071882,G,1.581664461,G,0.323977118,G,0.469320888,G,0.141649917,G,1.009729872,G,0.121652217,G,1.70285968,G,0.602742604,G,1.984889988,G,1.873653451,G,0.928521708,G,1.582705074,G,1.387288501,G,0.387175087,G,0.708589901,G,0.288899524,G,0.59314784,G,1.95749133,G,0.527065599,G,1.846658113,G,0.093593456,G,1.706951446,G,0.403781366,G,1.691119994,G,0.598298403,G,0.76650841,G,0.371644594,G,0.677674233,G,1.128356241,G,0.57041694,G,0.883721882,G,1.800348056,G,0.24918763,G,0.306122462,G,0.58967073,G,0.802864722,G,0.077353305,G,0.558113927,G,0.733543816,G,0.77249021,G,0.851688619,G,1.074767075,G,1.401492043,G,1.154692198,G,0.950753952,G,1.396529656,G,0.931258408,G,1.711285232,G,1.692699657,G,1.259118544,G,1.469868077,G,0.428178868,G,1.782669278,G,0.363533289,G,1.83089151,G,1.469590031,G,0.984075332,G,0.405692228,G,0.081495656,G,0.019741785,G,1.826013836
I,1.986854373,I,0.36975433,I,1.268831404,I,1.262434011,I,0.521670564,I,1.213241066,I,0.02722667,I,0.371368708,H,1.085980074,H,0.989362985,H,0.822658426,H,1.89835719,H,0.091373371,H,0.585797161,H,0.738957244,H,0.91357886,H,0.637499898,H,1.857051853,H,0.393065581,H,1.448600581,H,0.973738143,H,1.809923989,H,1.886741009,H,1.981989265,H,0.080066074,H,1.617940781,H,0.116968541,H,1.550720534,H,0.988964164,H,1.741230067,H,0.684980423,H,1.880924597,H,0.291121771,H,1.910500574,H,1.119983304,H,1.191191612,H,1.833246159,H,0.448638,H,0.58400501,H,0.775884394,H,0.968119453,H,0.867116482,H,0.898433763,H,0.120040472,H,0.01261256,H,1.443990454,H,0.995315328,H,0.482934775,H,0.373286474,H,1.439093398,H,0.643285377,H,0.33776514,H,1.325783718,H,0.207864022,H,1.915538222,H,0.151289126,H,1.593378507,H,1.158460764,H,0.994033301,H,0.139202762,H,1.346095149,H,1.157625824,H,1.719619681,H,1.618234672,H,1.400436251,H,1.533303953,H,1.807763333,H,0.856271115,H,1.73165535,H,0.097502356,H,0.941223923,H,0.359998612,H,1.86335011,H,0.229065701,H,0.516299528,H,0.339707593,H,0.539252217,H,1.577855037,H,1.954023233,H,0.312383153,H,1.98178392,H,1.716484938,H,0.165147743,H,1.462931606,H,1.894465234,H,0.365907198,H,1.411082471,H,0.791266281,H,0.969870427,H,0.886217867,H,0.450387619,H,1.099486307,H,1.450803198,H,0.791629006,H,1.961327307,H,0.072438518,H,1.380685098,H,1.139374808,H,1.317558136,H,0.339392887,H,1.249604192,H,1.735229181,H,1.463517385,H,0.73128473,H,1.235929085,H,0.379948907,H,0.545652168,H,0.133934186,H,1.588267808,H,0.832379994,H,1.651936482,H,0.073383472,H,0.324105846,H,1.961483237,H,1.392739414,H,1.302818739,H,1.080913602,H,0.68815088,H,1.314029738,H,1.869923216,H,0.79914245,H,1.887641251,H,0.631146664,H,1.790874347,H,1.969200514,H,0.723474235,H,1.629393748,H,1.112365912,H,0.523052417,H,0.784452922,H,0.850749759,H,0.846691095,H,1.489481239,H,0.329712682,H,0.035518229,H,1.223211894,H,0.383024155,H,0.068973884,H,0.246751033,H,0.240775419,H,0.006323746,H,1.258731583,H,0.873046059,H,1.280804127,H,0.149229457,H,1.705703588,H,1.044964526,H,0.640246349,H,0.712780011,H,0.741815944
J,1.610337649,J,0.848654949,J,1.160178432,J,1.432788678,J,1.927397461,J,0.555759774,J,0.246380197,J,1.538266165,J,1.1912458,I,0.148231401,I,0.95044774,I,1.18405125,I,1.312434169,I,1.25432296,I,1.321605624,I,1.186586104,I,0.310517473,I,1.951904674,I,0.101154996,I,1.327064424,I,1.044497828,I,0.562604412,I,1.945246702,I,1.743864591,I,1.834070828,I,0.310635652,I,0.667942679,I,0.204557218,I,0.037102841,I,1.573183977,I,0.636445089,I,1.659070085,I,1.358538035,I,0.228021938,I,1.265919017,I,1.527077688,I,0.936228105,I,1.507387028,I,0.927721986,I,0.7511456,I,1.92554786,I,1.528929067,I,0.82725694,I,1.276249754,I,0.980500374,I,0.877452039,I,1.190715999,I,0.069425675,I,1.390580113,I,0.468272452,I,1.897560985,I,0.898555638,I,0.456732845,I,1.048024626,I,0.664534537,I,1.233821933,I,0.760577563,I,1.306832711,I,0.263021857,I,1.655685313,I,0.505235896,I,0.373818869,I,0.063516419,I,0.955561747,I,0.353866347,I,0.510690299,I,0.096363937,I,1.324126527,I,0.418749128,I,1.269092754,I,1.149170788,I,0.152033566,I,1.843618196,I,1.950809246,I,0.140730021,I,0.74868134,I,0.758631701,I,1.64883489,I,1.792150956,I,1.867148874,I,1.584365304,I,0.324592205,I,1.427395237,I,1.801219227,I,0.34159527,I,1.229014506,I,1.798733108,I,0.236529706,I,0.908573345,I,1.309138341,I,1.169627415,I,0.673475167,I,0.763385636,I,1.206004272,I,1.988534881,I,1.978493961,I,0.561518597,I,1.674406432,I,1.6196029,I,0.268131704,I,0.872203629,I,0.995081867,I,1.721512186,I,1.22960355,I,1.583904523,I,0.171533854,I,0.581340321,I,1.262713608,I,0.132193655,I,1.726377659,I,1.586436043,I,0.448853107,I,0.217686308,I,0.67256683,I,0.741984159,I,1.979508846,I,0.380771008,I,0.44541965,I,1.236292854,I,0.505337251,I,1.565135114,I,1.78959878,I,1.77500989,I,0.743582814,I,0.734284351,I,1.21480738,I,0.506041844,I,1.65094074,I,1.591181073,I,0.631815129,I,1.826145233,I,0.347374132,I,1.260400114,I,1.217002153,I,0.042263048,I,1.286576302,I,0.731698056,I,0.834215811,I,1.687539993,I,1.239451234,I,1.346239598,I,1.230716211,I,0.440697714,I,1.442133166,I,1.224074016,I,0.674945613,I,0.475245062,I,0.735093876,I,1.10102392,I,1.732772661
K,0.399963598,K,0.832919056,K,1.119394346,K,0.968433514,K,1.218409195,K,1.652733127,K,1.885052156,K,0.818709621,K,1.899854926,K,0.171694308,J,1.303419862,J,0.214752562,J,0.181959816,J,0.208592266,J,0.031951998,J,0.072060812,J,1.614756114,J,1.061865988,J,1.199441304,J,1.346269095,J,0.033068733,J,1.325643998,J,1.041132485,J,0.604938398,J,1.384569335,J,0.848247168,J,1.005539376,J,1.260514291,J,0.80807639,J,1.319419542,J,1.836190769,J,0.15249197,J,0.457272114,J,1.553486632,J,0.391073335,J,0.971572932,J,0.518614986,J,0.366790362,J,1.93834936,J,1.706599516,J,0.15549726,J,0.742859996,J,1.577696816,J,0.903377763,J,0.956572488,J,0.700248071,J,1.878857488,J,1.125577049,J,1.694540208,J,1.833748246,J,1.749970796,J,1.791681012,J,0.320079008,J,1.606843348,J,1.873108678,J,1.044863911,J,1.834064227,J,1.489742064,J,0.468654112,J,0.803005706,J,0.984240738,J,1.951315766,J,0.759432597,J,0.553727714,J,0.16430364,J,1.318932865,J,1.670049001,J,1.652796,J,0.411298176,J,0.372937609,J,1.7360357,J,0.828991014,J,1.615786927,J,1.619133202,J,0.464085519,J,1.251689255,J,0.762125181,J,0.018111923,J,0.578457684,J,0.27718677,J,0.359150998,J,1.946583664,J,1.43561478,J,1.851863863,J,1.256521274,J,0.335693259,J,0.189370443,J,1.981562875,J,1.829101305,J,0.70716817,J,1.042023841,J,0.564379018,J,1.722675668,J,1.439615825,J,0.436103717,J,0.824128809,J,0.769965956,J,0.553234124,J,0.324329357,J,1.462561483,J,0.460798864,J,1.824227976,J,0.706116566,J,1.722071693,J,1.867220065,J,1.215035065,J,1.483271543,J,0.146249805,J,1.106831025,J,0.639715644,J,0.781850025,J,1.659835259,J,1.034731088,J,0.34968539,J,1.651366818,J,0.057467231,J,0.327086683,J,1.306702027,J,0.865120415,J,1.13600041,J,0.504421979,J,1.352996861,J,1.571651966,J,1.056581259,J,1.814180167,J,0.210308493,J,1.658583261,J,0.76813251,J,0.740023837,J,1.648086016,J,0.454479176,J,0.751926199,J,0.909674729,J,1.618825357,J,1.420108729,J,1.478357272,J,1.5249349,J,1.569314235,J,1.462623047,J,1.484718745,J,0.701034842,J,0.988814576,J,1.448334741,J,1.013221488,J,1.041641835,J,0.079628999,J,0.371832989,J,1.651799301,J,1.417041716,J,1.802537681
